Signatur	STANDORT_Hilfsspalte	STANDORT2	STANDORT3	ZUGANGSNR	EXEMPLARNR	Kurztitel	GTV	HST	Sachgruppe	Ort	"Epoche/
Räume"	ISBN
P 1018	P 001018	Zentrale		BV/ohne * BV05/684 H	407839001	Kruth, Bernd: Römisch-Germanisches Museum Haltern / mit Beitr. von Johann-Sebastian Kühlborn u. Olf Backmann.		Römisch-Germanisches Museum Haltern	"KAT;MUS"	W	RKZ	
P 1019	P 001019	Zentrale		BV91/77	1586962001	Huth, Ernst Walter: Die Entstehung und Entwicklung der Stadt Frankfurt (Oder) und ihr Kulturfeld vom 13. bis zum frühen 17. Jahrhundert auf Grund archäologischer Befunde		¬Die¬ Entstehung und Entwicklung der Stadt Frankfurt (Oder) und ihr Kulturfeld vom 13. bis zum frühen 17. Jahrhundert auf Grund archäologischer Befunde	SIE	D	MA/NZ	
P 1020	P 001020	Zentrale		BV/ohne	1586966001	Huverstuhl, Wilhelm: Fossa Drusina, Elison, apa und die Römerfeste Aliso / Wilhelm Huverstuhl		Fossa Drusina, Elison, apa und die Römerfeste Aliso	SIE	W	RKZ	
P 1021	P 001021	Zentrale		BV/ohne	1586968001	Huverstuhl, Wilhelm: Die Lage des Römer-Kastells Aliso / Wilhelm Huverstuhl		¬Die¬ Lage des Römer-Kastells Aliso	SIE	W	RKZ	
P 1021m	P 001021m	Zentrale		BV83/582	1586974001	"Hyenstrand, Åke: Centralbygd - randbygd... / Åke Hyenstrand (Acta Universitatis stockholm... ; 5)"	"Acta Universitatis stockholmiensis : Studies in North-European archaeology ; 5"	Centralbygd - randbygd	"GRÄ;SIE"	SK	EZ	
P 1021s	P 001021s	Zentrale		BV81/217	1586978001	Hygini Gromatici Liber de munitionibus castrorum / hsrg. und erklärt von Alfred von Domaszewski - Nachdr....		Hygini Gromatici Liber de munitionibus castrorum	GE	EU	AW	3-8067-0200-4
P 1022 - 1	P 001022 - 1	Zentrale		BV80/361	1586982001	Iatrus-Krivina 1. Ergebnisse der Ausgrabungen 1966 - 1973. - 1979. - 214, 78 S. : Ill., graph. Darst., Kt.		Ergebnisse der Ausgrabungen 1966 - 1973	SIE	BALK	"RKZ;VWZ/FMA"	
P 1022 - 2	P 001022 - 2	Zentrale		BV83/254	1586983001	Iatrus-Krivina 2. Ergebnisse der Ausgrabungen 1966 - 1973. - 1982. - 242, 87 S. : Ill., graph. Darst., Kt.		Ergebnisse der Ausgrabungen 1966 - 1973	SIE	BALK	"RKZ;VWZ/FMA"	
P 1022 - 3	P 001022 - 3	Zentrale		BV92/436	1586985001	Iatrus-Krivina 3. Die mittelalterlichen Siedlungen. - 1986. - 239, 83 S. : Ill., graph. Darst. u. Kt.		¬Die¬ mittelalterlichen Siedlungen	SIE	BALK	"RKZ;VWZ/FMA"	
P 1022 - 4	P 001022 - 4	Zentrale		BV92/436	1586986001	Iatrus-Krivina 4. Ergebnisse der Ausgrabungen 1975 - 1981. - 1991. - 315, 110 S. : Ill., Kt.		Ergebnisse der Ausgrabungen 1975 - 1981	SIE	BALK	"RKZ;VWZ/FMA"	3-05-000572-6
P 1022 - 5	P 001022 - 5	Zentrale		BV95/854	1586988001	Iatrus-Krivina 5. Studien zur Geschichte des Kastells Iatrus (Forschungsstand 1989). - 1995. - 139, 16 S. : Ill., Kt.		Studien zur Geschichte des Kastells Iatrus (Forschungsstand 1989)	SIE	BALK	"RKZ;VWZ/FMA"	3-05-002020-2
P 1022h - 3	P 001022h - 3	Zentrale		BV91/68	1586993001	Ikaros 3. Jeppesen, Kristian : The sacred enclosure in the Early Hellenistic period : with an appendix on epigraphical finds. - 1989. - 122 S.		¬The¬ sacred enclosure in the Early Hellenistic period	"SIE;REL"	AS	AW	87-7288-053-8
P 1022s	P 001022s	Zentrale		BV81/79	213732006	"Ilisch, Peter: Münzfunde und Geldumlauf in Westfalen in Mittelalter und Neuzeit : numismatische Untersuchungen und Verzeichnis der Funde... (Veröffentlichun... : Reihe 1 ;  23)"	"Veröffentlichungen des Provinzialinstituts für Westfälische Landes- und Volksforschung des Landschaftsverbandes Westfalen-Lippe : Reihe 1 ; 23"	Münzfunde und Geldumlauf in Westfalen in Mittelalter und Neuzeit	"NUM;WIR"	W	MA/NZ	3-402-06081-7
P 1022sb	P 001022sb	Zentrale		BV/ohne	1586995001	Ilisch, Peter: Das Kunstwerk des Monats Oktober 1981 : Caligula (37-41 n. Chr.) Dupondius für Germanicus. Inv. Nr. WLM 57-10/4220 MZ. / Peter Ilisch		¬Das¬ Kunstwerk des Monats Oktober 1981	"KAT;NUM"	W	RKZ	
P 1023	P 001023	Zentrale		BV80/79	1586996001	"Illert, Georg M.: Das vorgeschichtliche Siedlungsbild des Wormser Rheinübergangs / von Georg M. Illert (Der Wormsgau; Beih. ; 12)"	"¬Der¬ Wormsgau; Beih."	¬Das¬ vorgeschichtliche Siedlungsbild des Wormser Rheinübergangs	SIE	D	"NEO;BZ;EZ"	
P 1023d - 1	P 001023d - 1	Zentrale		BV91/396	1587000001	Illerup Ådal 1. Ilkjaer, Jørgen : Die Lanzen und Speere : Textband. - 1990. - 404 S. : Ill.		¬Die¬ Lanzen und Speere	MET	SK	"RKZ;VWZ/FMA"	
P 1023d - 10	P 001023d - 10	Zentrale		BV03/069	402249001	Illerup Ådal 10. Ilkjaer, Jørgen : Die Schilde : Katalog, Tafeln und Fundlisten. - 2001. - 485 S. : überw. Ill.		¬Die¬ Schilde	"HOL;MET"	SK	"RKZ;VWZ/FMA"	
P 1023d - 11	P 001023d - 11	Zentrale		BV13/3252	1683229001	"Illerup Ådal 11. Biborksi, Marcin...  : Die Schwerter  : Textband. - 2006. - 412 S. : Ill., graph.Darst. (Jysk Arkaeologisk Selskab: Jysk Arkaeologisk Sel... ; ...)"	"Jysk Arkaeologisk Selskabs skrifter ; 25,11"	¬Die¬ Schwerter 	MET	SK	"RKZ;VWZ/FMA"	87-88415-38-4
P 1023d - 12	P 001023d - 12	Zentrale		BV13/3253	1684592001	"Illerup Ådal 12. Biborksi, Marcin...  : Die Schwerter : Katalog, Tafeln und Fundlisten. - 2006. - 414 S. : Ill. (Jutland Archaeological Society publications ; 25,12)"	"Jutland Archaeological Society publications ; 25,12"	¬Die¬ Schwerter	"MET;INV"	SK	"RKZ;VWZ/FMA"	87-88415-38-4
P 1023d - 13	P 001023d - 13	Zentrale		BV13/3251	1683230001	Illerup Ådal 13. Jensen, Xenia Pauli ...  : Die Bögen, Pfeile und Äxte. - 2009. - 288 S. : zahlr. Ill., Kt.		¬Die¬ Bögen, Pfeile und Äxte	MET	SK	"RKZ;VWZ/FMA"	978-87-88415-62-9
P 1023d - 14	P 001023d - 14	Zentrale		BV13/3254	1683228001	"Illerup Ådal 14. Bursche, Aleksander : Die Münzen. - 2011. - 141 S. : zahlr. Ill., graph. Darst., Kt. (Jysk Arkaeologisk Selskabs skrifter ; 25,14)"	"Jutland Archaeological Society publications ; 25,14"	Die Münzen	NUM	SK	"RKZ;VWZ/FMA"	978-87-88415-72-8
P 1023d - 2	P 001023d - 2	Zentrale		BV91/396	1586999001	Illerup Ådal 2. Ilkjaer, Jørgen : Die Lanzen und Speere : Tafelband. - 1990. - 245 S. : Ill.		¬Die¬ Lanzen und Speere	"MET;INV"	SK	"RKZ;VWZ/FMA"	
P 1023d - 3	P 001023d - 3	Zentrale		BV94/55	1587001001	"Illerup Ådal 3. Ilkjaer, Jørgen : Die Gürtel : Bestandteile u. Zubehör;  Textband. - 1993. - 453 S. : Ill."		¬Die¬ Gürtel	KLE	SK	"RKZ;VWZ/FMA"	
P 1023d - 4	P 001023d - 4	Zentrale		BV94/55	1587002001	"Illerup Ådal 4. Ilkjaer, Jørgen : Die Gürtel : Bestandteile u. Zubehör;  Tafelband. - 1993. - 506 S. : Ill."		¬Die¬ Gürtel	"KLE;INV"	SK	"RKZ;VWZ/FMA"	
P 1023d - 5	P 001023d - 5	Zentrale		BV96/1021	1587003001	Illerup Ådal 5. Carnap-Bornheim, Claus von : Die Prachtausrüstungen  : Textband. - 1996. - 506 S. : Ill., graph. Darst.		¬Die¬ Prachtausrüstungen 	MET	SK	"RKZ;VWZ/FMA"	87-7288-581-5
P 1023d - 6	P 001023d - 6	Zentrale		BV96/1021	1587005001	Illerup Ådal 6. Carnap-Bornheim, Claus von...  : Die Prachtausrüstungen : Katalog, Fundlisten und Literatur. - 1996. - 322 S. : Ill.		¬Die¬ Prachtausrüstungen	"MET;INV"	SK	"RKZ;VWZ/FMA"	87-7288-581-5
P 1023d - 7	P 001023d - 7	Zentrale		BV96/1021	1587004001	Illerup Ådal 7. Carnap-Bornheim, Claus von : Die Prachtausrüstungen : Tafelband. - 1996. - 254 S. : zahlr. Ill.		¬Die¬ Prachtausrüstungen	MET	SK	"RKZ;VWZ/FMA"	87-7288-581-5
P 1023d - 8	P 001023d - 8	Zentrale		BV97/517	1587006001	Illerup Ådal 8. Carnap-Bornheim, Claus von...  : Die Prachtausrüstungen : Grabungsdokumentation und Fundliste. - 1996. - 66 S.		¬Die¬ Prachtausrüstungen	"ATL;MET"	SK	"RKZ;VWZ/FMA"	87-7288-586-6
P 1023d - 9	P 001023d - 9	Zentrale		BV03/069	402248001	Illerup Ådal 9. Ilkjaer, Jørgen : Die Schilde : Textband. - 2001. - 383 S. : zahlr. Ill.		¬Die¬ Schilde	HOL	SK	"RKZ;VWZ/FMA"	
P 1023g	P 001023g	Zentrale		BV88/597	1590405001	"Images et société... / publ. par: Claude Bérard ... (Cahiers d'archéologie romande ; 36)"	"Cahiers d'archéologie romande  ; 36"	Images et société en Grèce ancienne	"KO;KER;KU"	GR	AW	2-88028-036-2
P 1023h	P 001023h	Zentrale		BV88/760	1587016001	"Imdahl, Max ; Kunisch, Norbert: Plastik : Antike und moderne Kunst der Sammlung Dierichs in der Ruhr-Universität Bochum / Max Imdahl ; Norbert Kunisch"		Plastik	"KAT;KU"	D	"AW;MA/NZ"	3-7749-1686-1
P 1023k	P 001023k	Zentrale		BV84/68	1587019001	"The impact of aerial... (Textes de sciences sociales ; 49)"	"Textes de sciences sociales ; 49"	¬The¬ impact of aerial reconnaissance on archaeology	"KO;PRO"	BR		0-906780-24-1
P 1023s	P 001023s	Zentrale		BV88/580	1587526001	Anthropogenic indicators in pollen diagrams / ed. by Karl-Ernst Behre		Anthropogenic indicators in pollen diagrams	"KO;BO"	EU		90-6191-673-9
P 1024	P 001024	Zentrale		BV79/412	1587542001	The individual in prehistory : studies of variability in style in prehistoric technologies / ed. by James N. Hill ... (Studies in archeology)	Studies in archeology	¬The¬ individual in prehistory	"KULT;KER;GSL"	"NOA;SUA"		0-12-348150-3
P 1025	P 001025	Zentrale		BV95/103	1587548001	"Auler, Jost: Münster-Hiltrup in ur- und frühgeschichtlicher Zeit : eine archäologische Gebietsaufnahme / Jost Auler (Charybdis ; 6)"	"Charybdis ; 6"	Münster-Hiltrup in ur- und frühgeschichtlicher Zeit	GES	W	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	3-89473-613-5
P 1025k - 1	P 001025k - 1	Zentrale		BV80/205	1587606001	L'industrie en os et bois de cervidé durant le néolithique et l'âge des métaux  1.  - 1979.			KNO	"F;BEN"	NEO	
P 1025k - 2	P 001025k - 2	Zentrale		BV83/263	1587607001	L'industrie en os et bois de cervidé durant le néolithique et l'âge des métaux 2. Saint-Germain-en-Laye : 1980. - 1982.		Saint-Germain-en-Laye	KNO	"F;BEN"	"NEO;BZ;EZ"	
P 1025p	P 001025p	Zentrale		BV84/69	1587553001	"Crossley, D. W.: Medieval industry / D. W. Crossley (Council for British Archaeol... ; 40)"	"Council for British Archaeology: Research report. ; 40"	Medieval industry	"IND;TEC"	BR	"VWZ/FMA;MA/NZ"	0-906780-07-1
P 1026	P 001026	Zentrale		B49/437	1587557001	"Bernhard, Gerda ; Behrens, Gustav ; Burger, Alexander: Ingelheim / von Gerda Bernhard, Gustav Behrens, Alexander Burger und Ernst Emmerling (Rheinhessen in seiner Vergan... ; 9)"	"Rheinhessen in seiner Vergangenheit ; 9"	Ingelheim	GES	D	"NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1026a	P 001026a	Zentrale		BV69/9	1587560001	"Böhner, Kurt ; Sage, Walter ; Classen, Peter: Ingelheim am Rhein : Forschungen und Studien zur Geschichte Ingelheims / von Kurt Böhner, Walter Sage, Peter Classen ... ; hrsg. von Johanne Autenrieth"		Ingelheim am Rhein	"KU;GE"	D	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1026e	P 001026e	Zentrale		BV87/110	1587564001	L' inhumation privilégiée du IVe au VIIIe siècle en Occident... / Université de Paris-Val-de-Marne. Éd. par Y. Duval ...		¬L'¬ inhumation privilégiée du IVe au VIIIe siècle en Occident	"KO;GRÄ"	"EU;AF"	VWZ/FMA	2-7018-0031-5
P 1026g	P 001026g	Zentrale		BV85/306	1587567001	"Iniesta Sanmartín, Angel: Las fíbulas de la region de Murcia / Angel Iniesta Sanmartín (Biblioteca basica Murciana ; 15.)"	"Biblioteca basica Murciana ; 15."	¬Las¬ fíbulas de la region de Murcia	"MET;KLE"	IB	"EZ;RKZ"	84-500-8553-5
P 1026k - 1	P 001026k - 1	Zentrale		BV81/627	1587615001	Die Wallburgen Südtirols 1. Pustertal. - 1975. - 173 S. : Ill.		Pustertal	"ARF;SIE"	I	"NEO;BZ;EZ;RKZ;VWZ/FMA"	
P 1026k - 2	P 001026k - 2	Zentrale		BV81/627	1587618001	Die Wallburgen Südtirols 2. Vinschgau, Burggrafenamt, Überetsch. - 1975. - 190 S. : Ill., Kt.		Vinschgau, Burggrafenamt, Überetsch	"ARF;SIE"	I	"BZ;EZ;RKZ;VWZ/FMA"	
